name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2015-09-11,80.5,66.5,72.9,81,66.5,73,61.6,69.4,0.13,100,16.67,rain,0,0,24.2,11.5,19.7,1007.5,70.5,9.4,178.5,15.4,7,,2015-09-11T06:32:25,2015-09-11T19:12:17,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york city,2015-09-12,78,69.4,73.6,78,69.4,73.6,64.7,74.4,0.152,100,12.5,rain,0,0,26.4,17.4,137.5,1007.9,63.5,9.7,171.8,15,7,,2015-09-12T06:33:24,2015-09-12T19:10:36,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york city,2015-09-13,78,64.1,71.1,78,64.1,71.1,59.5,68.3,0.111,100,25,rain,0,0,27.5,13.1,256.8,1006.2,68.2,9.5,165.9,14.4,6,,2015-09-13T06:34:22,2015-09-13T19:08:56,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york city,2015-09-14,75.6,58.5,67.1,75.6,58.5,67.1,46.6,49.2,0,0,0,,0,0,27.4,21.7,280.9,1016.3,12.2,9.9,260.4,22.5,8,,2015-09-14T06:35:21,2015-09-14T19:07:15,0.05,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york city,2015-09-15,83,63.2,72.9,81.4,63.2,72.6,49.4,44.6,0,0,0,,0,0,18.3,6.6,296.7,1025,6.5,9.9,259.2,22.5,8,,2015-09-15T06:36:19,2015-09-15T19:05:33,0.08,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york city,2015-09-16,87,65.9,76,84.6,65.9,75.6,54.6,49.1,0,0,0,,0,0,16.1,6.6,261.4,1025.3,22.5,9.9,253.9,22,8,,2015-09-16T06:37:18,2015-09-16T19:03:52,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york city,2015-09-17,87.6,68.6,77.2,85.3,68.6,76.7,55.7,49.1,0,0,0,,0,0,18.3,13,192.5,1020.6,15,9.9,220.3,19.1,8,,2015-09-17T06:38:17,2015-09-17T19:02:11,0.15,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york city,2015-09-18,85.2,68,75.8,83.8,68,75.5,56,51.5,0,0,0,,0,0,18.3,9.6,153.2,1016.5,6.8,9.8,249.4,21.6,8,,2015-09-18T06:39:15,2015-09-18T19:00:29,0.18,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york city,2015-09-19,81.9,68.5,74.4,82.4,68.5,74.5,63.3,69.3,0,0,0,,0,0,20.8,11.4,185.3,1013.7,37,9.4,237.4,20.6,8,,2015-09-19T06:40:14,2015-09-19T18:58:48,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york city,2015-09-20,78.1,66.5,72.6,78.1,66.5,72.6,53.7,53.7,0,0,0,,0,0,25.3,12.4,5.6,1015,50.1,9.9,224.2,19.3,8,,2015-09-20T06:41:13,2015-09-20T18:57:06,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
